Date,open,high,low,close,Volume,Volume MA
2000-06-01T13:30:00Z,3400.91,4073.73,3400.91,3966.11,NaN,NaN
2000-07-03T13:30:00Z,3950.59,4289.06,3615.79,3766.99,NaN,NaN
2000-08-01T13:30:00Z,3766.92,4208.73,3521.14,4206.35,NaN,NaN
2000-09-01T13:30:00Z,4252.15,4259.87,3614.66,3672.82,NaN,NaN
2000-10-02T13:30:00Z,3714.48,3714.48,3026.11,3369.63,NaN,NaN
2000-11-01T14:30:00Z,3369.63,3480.01,2523.04,2597.93,NaN,NaN
2000-12-01T14:30:00Z,2644.09,3028.75,2288.16,2470.52,NaN,NaN
2001-01-02T14:30:00Z,2474.16,2892.36,2251.71,2772.73,NaN,NaN
2001-02-01T14:30:00Z,2771.57,2796.89,2127.5,2151.83,NaN,NaN
2001-03-01T14:30:00Z,2126.3,2243.78,1794.21,1840.26,NaN,NaN
2001-04-02T13:30:00Z,1835.22,2202.86,1619.58,2116.24,NaN,NaN
2001-05-01T13:30:00Z,2116.24,2328.05,2052.41,2110.49,NaN,NaN
2001-06-01T13:30:00Z,2131.12,2264.58,1973.7,2161.24,NaN,NaN
2001-07-02T13:30:00Z,2156.76,2181.05,1934.67,2027.13,NaN,NaN
2001-08-01T13:30:00Z,2051.56,2103.16,1777.11,1805.43,NaN,NaN
2001-09-04T13:30:00Z,1802.29,1836.19,1387.06,1498.8,NaN,NaN
2001-10-01T13:30:00Z,1491.45,1792.87,1458.41,1690.2,NaN,NaN
2001-11-01T14:30:00Z,1705.52,1965.09,1683.99,1930.58,NaN,NaN
2001-12-03T14:30:00Z,1915.13,2065.69,1898.98,1950.4,NaN,NaN
2002-01-02T14:30:00Z,1965.18,2098.88,1851.49,1934.03,NaN,NaN
2002-02-01T14:30:00Z,1928.83,1942.15,1696.55,1731.49,NaN,NaN
2002-03-01T14:30:00Z,1745.49,1946.23,1742.08,1845.35,NaN,NaN
2002-04-01T14:30:00Z,1834.59,1865.37,1640.97,1688.23,NaN,NaN
2002-05-01T13:30:00Z,1683.76,1759.33,1560.29,1615.73,NaN,NaN
2002-06-03T13:30:00Z,1613.5,1621.5,1375.53,1463.21,NaN,NaN
2002-07-01T13:30:00Z,1457.04,1459.84,1192.42,1328.26,NaN,NaN
